tenure_months,monthly_charges,contract_type,internet_service,support_tickets_6m,payment_method,churn
8,63.624587950446,Month-to-month,Fiber optic,1,Mailed check,0
0,108.3266554123067,Two year,Fiber optic,1,Electronic check,0
27,96.64790178541094,Month-to-month,DSL,0,Mailed check,0
36,34.64188069614532,Two year,DSL,1,Electronic check,0
62,93.04940129381771,Month-to-month,None,1,Mailed check,1
55,97.91297005093229,One year,Fiber optic,2,Mailed check,1
41,56.613528569299795,Month-to-month,None,0,Bank transfer,0
65,71.20844499244487,Two year,Fiber optic,1,Credit card,1
60,32.07460873093632,Month-to-month,None,2,Credit card,0
66,,Two year,DSL,0,Mailed check,0
37,49.679579879514634,One year,DSL,1,Electronic check,0
30,70.44392362962559,Month-to-month,DSL,0,Mailed check,0
11,71.90372229310954,Month-to-month,DSL,0,Mailed check,0
28,73.41813364919976,Month-to-month,None,3,Mailed check,0
39,24.06012133528788,Month-to-month,None,0,Mailed check,1
54,89.63363142468377,One year,DSL,0,Mailed check,0
55,29.818688394906854,Month-to-month,Fiber optic,0,Mailed check,0
42,10.262593913289177,Month-to-month,DSL,13,Bank transfer,1
31,89.44670551211223,One year,Fiber optic,0,Mailed check,0
22,51.915443126294285,One year,DSL,2,Electronic check,1
27,64.65874826743124,Month-to-month,Fiber optic,1,Credit card,1
69,213.61178565382752,Month-to-month,Fiber optic,3,Electronic check,0
29,28.853956089059054,One year,Fiber optic,2,Credit card,0
61,14.631401248898069,Two year,DSL,3,Mailed check,1
54,22.77644942529894,Two year,None,0,Mailed check,1
4,62.631026221224026,Two year,Fiber optic,0,Mailed check,0
57,23.960792360316123,Month-to-month,Fiber optic,0,Bank transfer,0
54,47.516757364231175,One year,DSL,0,Mailed check,0
20,16.22599269636791,Two year,DSL,2,Electronic check,0
8,89.36193386419924,Month-to-month,DSL,1,Mailed check,1
18,42.476219108996595,Month-to-month,DSL,0,Bank transfer,1
7,,One year,Fiber optic,0,Credit card,1
48,13.432451268383547,One year,Fiber optic,0,Bank transfer,0
53,24.82264518516158,Two year,Fiber optic,3,Electronic check,1
13,68.5695959100266,Month-to-month,DSL,2,Credit card,0
55,70.31634006863396,Two year,Fiber optic,1,Mailed check,0
0,43.13646086497624,Month-to-month,None,3,Mailed check,0
43,61.80907544270946,One year,Fiber optic,3,Electronic check,0
22,52.29098785364812,Month-to-month,None,4,Mailed check,0
11,45.641066299189454,Month-to-month,DSL,0,Electronic check,0
59,28.404644168483795,One year,Fiber optic,1,Bank transfer,0
48,24.568878747950812,Month-to-month,Fiber optic,0,Credit card,0
63,95.33493224971235,Month-to-month,None,0,Bank transfer,1
8,133.97666550007486,One year,Fiber optic,1,Mailed check,0
29,76.41100224756347,One year,DSL,0,Mailed check,0
22,17.23623737784114,Month-to-month,DSL,1,Electronic check,0
48,24.797384601313954,One year,Fiber optic,0,Mailed check,0
60,41.477894137873626,Month-to-month,Fiber optic,3,Electronic check,0
45,99.3620317042679,Month-to-month,Fiber optic,0,Bank transfer,0
65,54.17955483575068,Month-to-month,Fiber optic,0,Credit card,0
